epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1496.07,0.93571,0.36592,0.99042,0.99756,0.99855,0.99474,0.73342,1.00554,0.32702,1.00929,0.0002773,0.0002773,0.0002773
75,1515.99,0.93767,0.36836,0.98857,0.99732,0.99878,0.99477,0.73375,1.00218,0.32294,1.00902,0.0002674,0.0002674,0.0002674
76,1536.04,0.92423,0.36268,0.98721,0.99852,1,0.995,0.73426,1.00337,0.32295,1.0117,0.0002575,0.0002575,0.0002575
77,1556.23,0.92191,0.36149,0.98112,0.99859,1,0.995,0.73537,1.00196,0.32054,1.00936,0.0002476,0.0002476,0.0002476
78,1576.18,0.93094,0.36287,0.98862,0.99733,1,0.995,0.73438,1.00337,0.32278,1.00952,0.0002377,0.0002377,0.0002377
79,1596.22,0.92663,0.3593,0.98672,0.99814,1,0.995,0.73414,1.0049,0.32143,1.00911,0.0002278,0.0002278,0.0002278
80,1616.28,0.92178,0.35767,0.98315,0.99772,0.99878,0.99482,0.73431,1.00459,0.32147,1.0089,0.0002179,0.0002179,0.0002179
81,1636.43,0.92311,0.35712,0.98605,0.99878,0.99864,0.99482,0.73491,0.99872,0.31922,1.0068,0.000208,0.000208,0.000208
82,1656.54,0.9146,0.3563,0.98383,0.99832,0.99878,0.99484,0.73558,1.00064,0.32032,1.0078,0.0001981,0.0001981,0.0001981
83,1676.63,0.915,0.35489,0.98461,0.99945,1,0.995,0.73366,0.99782,0.3192,1.00771,0.0001882,0.0001882,0.0001882
84,1696.77,0.91876,0.3549,0.98679,0.9974,0.99878,0.99478,0.73625,0.99839,0.3194,1.00528,0.0001783,0.0001783,0.0001783
85,1716.96,0.9163,0.35423,0.98207,0.99757,0.99878,0.99479,0.73727,0.99918,0.31904,1.00642,0.0001684,0.0001684,0.0001684
86,1736.99,0.92036,0.35279,0.98648,0.99756,0.99769,0.99478,0.73463,0.99884,0.31853,1.00753,0.0001585,0.0001585,0.0001585
87,1756.96,0.90732,0.34836,0.98373,0.99708,1,0.995,0.73621,1.00191,0.31876,1.00952,0.0001486,0.0001486,0.0001486
88,1777.13,0.91013,0.34748,0.9815,0.99735,1,0.99499,0.73587,1.00178,0.31843,1.00733,0.0001387,0.0001387,0.0001387
89,1797.28,0.90536,0.34601,0.98159,0.99739,1,0.99499,0.73682,1.00372,0.31737,1.00847,0.0001288,0.0001288,0.0001288
90,1817.52,0.90599,0.34733,0.98216,0.99738,1,0.995,0.73614,1.00565,0.31805,1.00956,0.0001189,0.0001189,0.0001189
91,1837.99,0.90094,0.31271,0.99254,0.9961,0.99878,0.99485,0.73593,1.00461,0.31828,1.0113,0.000109,0.000109,0.000109
92,1857.95,0.89044,0.31035,0.99205,0.99632,0.99878,0.99484,0.73365,1.00756,0.32055,1.0122,9.91e-05,9.91e-05,9.91e-05
93,1877.87,0.88967,0.30723,0.98656,0.9961,0.99878,0.99483,0.73398,1.00596,0.31941,1.01154,8.92e-05,8.92e-05,8.92e-05
94,1898.01,0.89325,0.30742,0.98748,0.99607,0.99878,0.99483,0.73408,1.00471,0.31872,1.01105,7.93e-05,7.93e-05,7.93e-05
95,1917.69,0.88181,0.30473,0.98266,0.99756,0.99845,0.99483,0.73675,1.00125,0.3179,1.00931,6.94e-05,6.94e-05,6.94e-05
96,1937.26,0.88453,0.3036,0.97987,0.99878,0.99952,0.995,0.73569,0.99878,0.31701,1.00817,5.95e-05,5.95e-05,5.95e-05
97,1956.9,0.8787,0.30102,0.9829,0.9984,1,0.995,0.7372,0.99646,0.31592,1.00701,4.96e-05,4.96e-05,4.96e-05
98,1976.68,0.88034,0.30224,0.98319,0.99721,0.99878,0.99484,0.73614,0.99492,0.31588,1.00633,3.97e-05,3.97e-05,3.97e-05
99,1996.31,0.8752,0.29995,0.98443,0.99727,0.99878,0.99483,0.7369,0.99512,0.31452,1.0061,2.98e-05,2.98e-05,2.98e-05
100,2015.89,0.87383,0.2998,0.98355,0.99756,0.99826,0.99483,0.73656,0.99431,0.31518,1.00593,1.99e-05,1.99e-05,1.99e-05
